"","x"
"1","Ralstonia.0001"
"2","Ralstonia.0002"
"3","Order.Gp2.0002"
"4","Pelomonas.0001"
"5","Burkholderia.0001"
"","x"
"1","Streptococcus.0002"
"2","Prevotella.0002"
"3","Alloprevotella.0001"
"4","Prevotella.0003"
"5","Parvimonas.0001"
"6","Peptostreptococcus.0001"
"","x"
"1","Propionibacterium.0001"
"2","Propionibacterium.0002"
"3","Order.Gp2.0001"
"4","Delftia.0001"
"5","Stenotrophomonas.0001"
"6","Pseudomonas.0002"
"7","Staphylococcus.0001"
